realvd,sortby,direct,day,time,speed,accu,jam_percent,congest
VSHZU60,1.0,2,2,12,43.87976,0.755,0.0,0.0
VSHZU60,1.0,2,2,13,44.97963,0.675,0.0,0.0
VSHZU60,1.0,2,2,14,44.183674,0.53999996,0.0,0.0
VSHZU60,1.0,2,2,15,42.552948,1.235,0.0,0.0
VSHZU60,1.0,2,2,16,43.26367,1.48,0.0,0.0
VSHZU60,1.0,2,2,17,42.69129,1.895,0.0,0.0
VSHZU60,1.0,2,2,18,43.120556,1.98,0.0,0.0
VSHZU60,1.0,2,2,19,42.09656,3.37,0.0,0.0
VSHZU60,1.0,2,2,20,43.548275,2.645,0.0,0.0
VSHZU60,1.0,2,2,21,39.84717,2.45,0.0,0.0
VSHZU60,1.0,2,2,22,40.66852,1.75,0.0,0.0
VSHZU60,1.0,2,2,23,41.95296,1.5,0.0,0.0
VSHZU60,1.0,2,3,0,46.95126,0.595,0.0,0.0
VSHZU60,1.0,2,3,1,48.493767,0.22,0.0,0.0
VSHZU60,1.0,2,3,2,47.547,0.060000002,0.0,0.0
VSHZU60,1.0,2,3,3,48.664288,0.04,0.0,0.0
VSHZU60,1.0,2,3,4,45.192856,0.035,0.0,0.0
VSHZU60,1.0,2,3,5,46.727272,0.035,0.0,0.0
VSHZU60,1.0,2,3,6,45.088623,0.19000001,0.0,0.0
VSHZU60,1.0,2,3,7,43.40399,0.90500003,0.0,0.0
VSHZU60,1.0,2,3,8,43.83524,1.765,0.0,0.0
VSHZU60,1.0,2,3,9,42.715668,1.75,0.0,0.0
VSHZU60,1.0,2,3,10,42.176632,2.48,0.0,0.0
VSHZU60,1.0,2,3,11,44.48933,0.925,0.0,0.0
VSHZU60,1.0,2,3,12,44.536263,1.51,0.0,0.0
VSHZU60,1.0,2,3,13,38.892097,1.165,0.0,0.0
VSHZU60,1.0,2,3,14,43.664093,1.24,0.0,0.0
VSHZU60,1.0,2,3,15,41.817253,1.535,0.0,0.0
VSHZU60,1.0,2,3,16,41.71513,1.6949999,0.0,0.0
VSHZU60,1.0,2,3,17,40.72026,2.85,0.0,0.0
VSHZU60,1.0,2,3,18,43.262226,1.89,0.0,0.0
VSHZU60,1.0,2,3,19,40.47476,2.175,0.0,0.0
VSHZU60,1.0,2,3,20,42.49273,2.21,0.0,0.0
VSHZU60,1.0,2,3,21,42.62992,1.775,0.0,0.0
VSHZU60,1.0,2,3,22,42.417015,1.77,0.0,0.0
VSHZU60,1.0,2,3,23,43.064762,1.315,0.0,0.0
VSQYA00,2.0,2,4,0,50.39,7.72,0.3171,0.0
VSQYA00,2.0,2,4,1,53.35,2.0,0.1951,0.0
VSQYA00,2.0,2,4,2,54.83,2.27,0.1707,0.0
VSQYA00,2.0,2,4,3,51.76,3.17,0.0732,0.0
VSQYA00,2.0,2,4,4,55.74,4.2,0.0976,0.0
VSQYA00,2.0,2,4,5,51.32,5.28,0.122,0.0
VSQYA00,2.0,2,4,6,59.140003,4.7,0.1463,0.0
VSQYA00,2.0,2,4,7,54.35,4.38,0.4878,0.0
VSQYA00,2.0,2,4,8,42.33,8.27,0.6098,0.0
VSQYA00,2.0,2,4,9,40.760002,11.77,0.6585,0.0
VSQYA00,2.0,2,4,10,45.66,11.68,0.6341,0.0
VSQYA00,2.0,2,4,11,41.38,18.17,0.6585,0.0
VSQYA00,2.0,2,4,12,40.84,20.43,0.6341,0.0
VSQYA00,2.0,2,4,13,37.1,23.94,0.6585,0.1726
